UserId,TransactionId,TransactionTime,ItemCode,ItemDescription,NumberOfItemsPurchased,CostPerItem,Country
278523,6277150,2018-12-23,490455,HOT WATER BOTTLE KEEP CALM,6,6.84,United Kingdom
278523,6002590,2018-05-18,444654,POTTERING IN THE SHED METAL SIGN,6,2.88,United Kingdom
278523,6232655,2018-11-25,444675,GIN + TONIC DIET METAL SIGN,6,3.52,United Kingdom
278523,6379780,2019-02-12,488607,SET OF 4 SANTA PLACE SETTINGS,6,1.73,United Kingdom
278523,6002590,2018-05-18,452004,DOORMAT SPOTTY HOME SWEET HOME,3,10.98,United Kingdom
278523,6068887,2018-07-15,755265,FOLKART HEART NAPKIN RINGS,9,1.1,United Kingdom
278523,6259407,2018-12-12,459291,SAVE THE PLANET MUG,6,2.28,United Kingdom
278523,6277150,2018-12-23,476658,PINK REGENCY TEACUP AND SAUCER,3,4.08,United Kingdom
278523,6011962,2018-05-26,454041,VINTAGE UNION JACK BUNTING,3,11.73,United Kingdom
278523,6232655,2018-11-25,755181,FOLKART ZINC HEART CHRISTMAS DEC,6,1.18,United Kingdom
278523,6292803,2019-01-01,464310,BIRD HOUSE HOT WATER BOTTLE,3,3.52,United Kingdom
278523,6083022,2018-07-24,1734243,HOT BATHS METAL SIGN,6,2.9,United Kingdom
278523,6100578,2018-08-06,1776516,SMALL DOLLY MIX DESIGN ORANGE BOWL,12,0.58,United Kingdom
278523,6277150,2018-12-23,491253,HOME SWEET HOME CUSHION COVER ,6,5.18,United Kingdom
278523,6060065,2018-07-03,1787961,JARDIN ETCHED GLASS FRUITBOWL,9,5.46,United Kingdom
278523,6024216,2018-06-05,1733571,LAUNDRY 15C METAL SIGN,3,2.01,United Kingdom
278523,6083022,2018-07-24,459291,SAVE THE PLANET MUG,12,1.73,United Kingdom
278523,6011962,2018-05-26,481320,HERB MARKER BASIL,6,0.9,United Kingdom
278523,6360838,2019-02-04,488544,SET OF 3 WOODEN SLEIGH DECORATIONS,9,1.73,United Kingdom
278523,6360838,2019-02-04,488775,SET OF 3 HANGING OWLS OLLIE BEAK,6,1.73,United Kingdom
278523,6024216,2018-06-05,1787583,WHITE HANGING HEART T-LIGHT HOLDER,6,4.08,United Kingdom
278523,6002590,2018-05-18,450030,SET/3 RED GINGHAM ROSE STORAGE BOX,3,5.18,United Kingdom
278523,6185817,2018-10-16,478086,PHOTO FRAME CORNICE,3,4.08,United Kingdom
278523,6206189,2018-11-04,445578,RED SPOTTY BISCUIT TIN,3,5.18,United Kingdom
278523,6185817,2018-10-16,459396,POTTERING MUG,3,1.73,United Kingdom
278523,6303770,2019-01-08,458157,GLITTER CHRISTMAS TREE,30,0.54,United Kingdom
278523,6060065,2018-07-03,459921,"KEY FOB , BACK DOOR ",6,0.9,United Kingdom
